timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-07-03 19:00:00,22735,19983.774676480534,17764.0,18886.33586828281,21545.726238820676,2751.2253235194657
2026-07-03 20:00:00,22438,19992.40862044134,17698.0,18894.969812243617,21554.360182781482,2445.5913795586603
2026-07-03 21:00:00,21480,19238.773061781176,16887.0,18141.334253583453,20800.724624121318,2241.226938218824
2026-07-03 22:00:00,20293,17978.333299975708,15583.0,16880.89449177798,19540.28486231585,2314.6667000242924
2026-07-03 23:00:00,19022,17303.238186976585,14598.0,16205.79937877886,18865.189749316727,1718.761813023415
2026-07-04 00:00:00,18150,18061.777023471343,14249.0,16964.338215273616,19623.728585811485,88.22297652865745
2026-07-04 01:00:00,17562,16960.64133273797,14020.0,15863.202524540246,18522.592895078113,601.3586672620295
2026-07-04 02:00:00,17097,16527.651439305064,13812.0,15430.212631107339,18089.603001645206,569.3485606949362
2026-07-04 03:00:00,16550,16349.192089091093,13699.0,15251.753280893368,17911.143651431237,200.8079109089067
2026-07-04 04:00:00,16624,15942.657757404084,13457.0,14845.218949206359,17504.609319744228,681.3422425959161
2026-07-04 05:00:00,16464,16234.026379754796,13309.0,15136.587571557071,17795.977942094938,229.97362024520407
2026-07-04 06:00:00,17134,17441.033971682413,13739.0,16343.595163484688,19002.985534022555,307.0339716824128
2026-07-04 07:00:00,17816,18333.14658819982,14347.0,17235.707780002092,19895.09815053996,517.1465881998192
2026-07-04 08:00:00,18196,18525.18840167884,15275.0,17427.749593481116,20087.13996401898,329.188401678839
2026-07-04 09:00:00,18813,19615.822589894546,15800.0,18518.383781696823,21177.774152234688,802.8225898945457
2026-07-04 10:00:00,19344,21001.906362451682,16377.0,19904.467554253955,22563.857924791824,1657.906362451682
2026-07-04 11:00:00,19431,21202.352721072515,16946.0,20104.913912874792,22764.304283412657,1771.3527210725151
2026-07-04 12:00:00,19805,21206.313952852615,17232.0,20108.875144654892,22768.265515192757,1401.3139528526153
