date,average_demand_mw,peak_demand_mw,minimum_demand_mw,total_energy_gwh,hour_of_day,load_factor
2023-04-18,15012.25,16811,12316,360.294,19,0.8930016060912498
2023-04-19,14962.458333333334,16690,12817,359.099,19,0.8964924106251249
2023-04-20,14339.958333333334,15821,12542,344.159,19,0.9063876071887575
2023-04-21,14384.208333333334,15788,12248,345.221,19,0.9110848957013766
2023-04-22,13718.541666666666,14914,12035,329.245,10,0.9198432121943587
2023-04-23,13718.583333333334,15429,11760,329.246,19,0.8891427398621644
2023-04-24,14904.0,16582,12420,357.696,19,0.898805934145459
2023-04-25,14842.916666666666,16667,12719,356.23,19,0.8905571888562228
2023-04-26,14799.541666666666,16302,12814,355.189,19,0.9078359505991085
2023-04-27,14232.375,15651,12598,341.577,6,0.9093588269120184
2023-04-28,14167.541666666666,15259,12225,340.021,19,0.9284711754811368
2023-04-29,13976.958333333334,15254,12015,335.447,12,0.9162815217866352
2023-04-30,13806.041666666666,15421,11810,331.345,19,0.8952753820547737
2023-05-01,14537.375,15888,12069,348.897,19,0.9149908736153072
2023-05-02,14743.583333333334,16342,12472,353.846,19,0.9021896544690573
2023-05-03,14829.916666666666,16283,12905,355.918,19,0.910760711580585
2023-05-04,14712.666666666666,16090,12564,353.104,19,0.9143981769214833
2023-05-05,13947.875,15028,12401,334.749,19,0.9281258317806761
2023-05-06,12763.958333333334,14257,11660,306.335,19,0.8952765892777818
2023-05-07,12966.291666666666,14977,10907,311.191,17,0.8657469230598027
2023-05-08,13726.875,15391,11668,329.445,19,0.8918767461503476
2023-05-09,13703.583333333334,15573,11701,328.886,19,0.8799578330015626
2023-05-10,13756.208333333334,15510,12077,330.149,19,0.8869251020846766
2023-05-11,14037.375,16331,11446,336.897,19,0.8595539158655318
2023-05-12,14617.833333333334,16714,11888,350.828,16,0.8745861752622552
2023-05-13,13284.291666666666,14921,11676,318.823,17,0.890308402028461
2023-05-14,12384.708333333334,14488,10887,297.233,20,0.8548252576845206
2023-05-15,13734.291666666666,15702,11491,329.623,19,0.8746842228166263
2023-05-16,13903.875,15355,11522,333.693,20,0.9054949527841094
2023-05-17,13853.333333333334,15793,11859,332.48,20,0.8771818738259567
2023-05-18,14040.041666666666,15592,12432,336.961,19,0.9004644475799555
2023-05-19,13940.458333333334,15561,11949,334.571,19,0.8958587708587709
2023-05-20,13314.958333333334,14749,11611,319.559,10,0.9027702443103488
2023-05-21,12365.125,14137,10859,296.763,18,0.8746640022635637
2023-05-22,12335.5,14401,10989,296.052,19,0.8565724602458162
2023-05-23,14040.666666666666,16107,11254,336.976,19,0.871712092051075
2023-05-24,13814.875,15396,11950,331.557,20,0.897302870875552
2023-05-25,13705.625,15416,12041,328.935,19,0.8890519590036325
2023-05-26,13837.458333333334,15481,12022,332.099,18,0.8938349159184377
2023-05-27,13172.25,15294,11442,316.134,17,0.8612691251471165
2023-05-28,13587.625,16547,11194,326.103,18,0.821153381277573
2023-05-29,15089.25,18244,11707,362.142,17,0.827080135935102
2023-05-30,15783.416666666666,19402,11942,378.802,17,0.8134943133010343
2023-05-31,16999.958333333332,20787,12524,407.999,16,0.8178168246179502
2023-06-01,17908.083333333332,21088,13548,429.794,16,0.8492072900859888
